타임스탬프,내일의 나에게 도움이 될 것 같은 프로그램에 대하여 투표하여 주세요.                                                                      
2021. 6. 25 오전 9:49:34,백짓장/운동하조
2021. 6. 25 오전 9:49:35,친해져조
2021. 6. 25 오전 9:49:52,백짓장/운동하조
2021. 6. 25 오전 10:13:05,1. '백짓장도 맞들면 낫조'팀/2. '풍요롭조'팀
2021. 6. 25 오전 10:17:52,친해져죠 백짓장조
2021. 6. 25 오전 10:19:08,백짓장조 욜로하조
2021. 6. 25 오전 10:19:37,백짓장조 / 친해져조 
2021. 6. 25 오전 10:19:55,1. 친해져조 / 2. 풍요롭조
2021. 6. 25 오전 10:22:32,운동하죠 /  친해져조
2021. 6. 25 오전 10:26:17,1.풍요롭조 팀 / 2.욜로하조 팀
2021. 6. 25 오전 10:26:22,1. 욜로하조팀/2. 운동하조팀
2021. 6. 25 오전 10:26:58,친해져조 / 욜로하조
2021. 6. 25 오전 10:27:26,1. 욜로하조 / 2. 백짓장도 맞들면 낫조
2021. 6. 25 오전 10:27:32,1. 친해져조 / 2. 운동하조
2021. 6. 25 오전 10:27:36,1. 운동하조 / 2. 욜로하조
2021. 6. 25 오전 10:27:36,1. 운동하조 / 2. 친해져조
2021. 6. 25 오전 10:27:50,운동하조 / 풍요롭조
2021. 6. 25 오전 10:27:54,1.백짓장조 2.운동하조
2021. 6. 25 오전 10:27:57,1. 친해져조 / 2. 욜로하조
2021. 6. 25 오전 10:28:22,C팀 E팀
2021. 6. 25 오전 10:28:26,운동하조 / 친해져조
2021. 6. 25 오전 10:28:31,친해져조 / 욜로하조
2021. 6. 25 오전 10:28:40,욜로하조 / 친해져조
2021. 6. 25 오전 10:28:56,1.풍요롭조 /  2.친해져조
2021. 6. 25 오전 10:29:12,욜로하조
2021. 6. 25 오전 10:30:13,운동하조 / 풍요롭조
2021. 6. 25 오전 10:30:59,A 욜로하조 / B 풍요롭조
2021. 6. 25 오전 10:33:51,풍요롭조/욜로하조